,,,,,,,,,,,
Face-to-Face,Primary,,,Secondary,,,,,,,
Tuition Partner,Literacy,Numeracy,Science,Maths,English ,Science,MF Languages,Humanities,,,
3D Recruit,"SE, L","SE, L","SE, L","SE, L","SE, L","SE, L","SE, L","SE, L",,Region ,No of TPs
Action Tutoring,"SW, SE, L, EM, WM, YH, NW, NE","SW, SE, L, EM, WM, YH, NW, NE",,"SW, SE, L, EM, WM, YH, NW, NE","SW, SE, L, EM, WM, YH, NW, NE",,,,,SW,21
Appla Tuition,NW,NW,NW,NW,NW,NW,,NW,,SE,36
Assess Education Limited,NW,NW,NW,NW,NW,NW,,NW,,L,37
Bright Heart Education,L,L,L,L,L,L,L,L,,EM,22
BYT Centres,"SE, L","SE, L","SE, L","SE, L","SE, L","SE, L","SE, L","SE, L",,WM,26
Career Tree,"L, EM, WM","L, EM, WM","L, EM, WM","L, EM, WM","L, EM, WM","L, EM, WM",,,,YH,29
"CER, Monarch Education & Sugarman Education",ALL,ALL,ALL,ALL,ALL,ALL,,,,NW,35
CoachBright,"SW, SE, L, E, WM","SW, SE, L, E, WM",,"SW, SE, L, E, WM","SW, SE, L, E, WM","SE, L, E, WM",,,,NE,31
Conexus Tuition,"SW, E, WM, YH, NW","SW, E, WM, YH, NW","SW, E, WM, YH, NW","SW, E, WM, YH, NW","SW, E, WM, YH, NW","SW, E, WM, YH, NW","SW, E, WM, YH, NW","SW, E, WM, YH, NW",,E,26
Connex Education Partnership,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,,,
EM Tuition,"SW, SE, L, E, EM, WM","SW, SE, L, E, EM, WM","SW, SE, L, E, EM, WM","SW, SE, L, E, EM, WM","SW, SE, L, E, EM, WM","SW, SE, L, E, EM, WM","SW, SE, L, E, EM, WM","SW, SE, L, E, EM, WM",,,
Engage Partners,"SE, L, E, YH","SE, L, E, YH","SE, L, E, YH","SE, L, E, YH","SE, L, E, YH","SE, L, E, YH","SE, L, E, YH","SE, L, E, YH",,,
Equal Education,"SW, SE, L, E, YH, NW","SW, SE, L, E, YH, NW","SW, SE, L, E, YH, NW","SW, SE, L, E, YH, NW","SW, SE, L, E, YH, NW","SW, SE, L, E, YH, NW","SW, SE, L, E, YH, NW","SW, SE, L, E, YH, NW",,,
Equal Education Partners Ltd,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,,,
FFT Education,ALL,,,,,,,,,,
Fledge Tuition,SE,SE,SE,SE,SE,SE,SE,SE,,,
Fleet Education Services,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,,,
GSL Education,"SE, L, EM, WM, YH, NW, NE","SE, L, EM, WM, YH, NW, NE","SE, L, EM, WM, YH, NW, NE","SE, L, EM, WM, YH, NW, NE","SE, L, EM, WM, YH, NW, NE","SE, L, EM, WM, YH, NW, NE","SE, L, EM, WM, YH, NW, NE","SE, L, EM, WM, YH, NW, NE",,,
Lancaster County Council,NW,,,,NW,,,,,,
Learning Academies,"SE, E",,,,"SE, E",,,,,,
Learning Hive,"SE, L, YH, NW","SE, L, YH, NW",,"SE, L, YH, NW","SE, L, YH, NW",,,,,,
Manning’s Tutors,,,,"L, NW, NE","L, NW, NE","L, NW, NE","L, NW, NE","L, NW, NE",,,
